cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-0903-00-1181472-1-1,Total Referencial:,198000,Total Adjudicado:,187000,,
21-0520-00-1140919-2-1,Total Referencial:,1000000,Total Adjudicado:,1000000,Total Recepcionado:,1000000
20-1306-00-1048929-0-E,Total Adjudicado:,47300,Total Recepcionado:,47300,,
20-1735-00-1090487-1-1,Total Referencial:,30358.52,Total Recepcionado:,30357.74,,
21-0781-00-1146609-1-1,Total Referencial:,62100,Total Adjudicado:,53937,Total Recepcionado:,53937
20-3701-00-1091370-1-1,Total Referencial:,49890,Total Recepcionado:,49890,,
20-1501-00-1047206-0-E,Total Adjudicado:,47200,,,,
20-1704-00-1099308-1-1,Total Referencial:,49896,Total Recepcionado:,49871,,
20-1604-00-1039075-0-E,Total Adjudicado:,15847.94,,,,
20-1301-00-1046205-0-E,Total Adjudicado:,660000,Total Recepcionado:,660000,,
20-3701-00-1092204-1-1,Total Referencial:,750000,Total Adjudicado:,748250,Total Recepcionado:,748250
20-1120-00-1042346-0-E,Total Adjudicado:,193100,Total Recepcionado:,193100,,
20-1312-00-1040955-0-E,Total Adjudicado:,58280,Total Recepcionado:,58280,,
20-1434-00-1077851-1-1,Total Referencial:,370556,Total Adjudicado:,370203,Total Recepcionado:,370203
20-1434-00-1077851-1-1,Total Referencial:,22372,Total Adjudicado:,22015,Total Recepcionado:,22015
20-1805-00-1038371-0-E,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0517-00-1046404-0-E,Total Adjudicado:,43000,Total Recepcionado:,43000,,
20-0417-06-1075263-1-1,Total Referencial:,760000,Total Adjudicado:,400000,Total Recepcionado:,400000
20-1201-18-1040870-0-E,Total Adjudicado:,30700,Total Recepcionado:,30700,,
21-0411-00-1146473-1-1,Total Referencial:,25044,Total Recepcionado:,25044,,
20-0423-00-1050903-0-E,Total Adjudicado:,29940,Total Recepcionado:,29940,,
20-1755-00-1045983-0-E,Total Adjudicado:,28080,Total Recepcionado:,28080,,
21-0513-00-1142098-1-1,Total Referencial:,47054.46,Total Recepcionado:,47054.46,,
21-1502-00-1117256-1-1,Total Referencial:,49400,Total Recepcionado:,49400,,
21-0903-00-1156068-1-1,Total Referencial:,59000,Total Adjudicado:,58900,Total Recepcionado:,58900
20-1805-00-1051829-0-E,Total Adjudicado:,100000,Total Recepcionado:,100000,,
20-1430-00-1102232-1-1,Total Referencial:,8900,Total Recepcionado:,8800,,
20-1312-00-1040748-0-E,Total Adjudicado:,24000,Total Recepcionado:,24000,,
20-1604-00-1080159-1-1,Total Referencial:,49750,Total Recepcionado:,48250,,
20-1910-00-1085072-1-1,Total Referencial:,138425,Total Adjudicado:,136575,Total Recepcionado:,136575
20-1910-00-1085072-1-1,Total Referencial:,172275,Total Adjudicado:,172275,Total Recepcionado:,172275
20-1910-00-1085072-1-1,Total Referencial:,169400,Total Adjudicado:,164895,Total Recepcionado:,164895
20-1910-00-1085072-1-1,Total Referencial:,187415,Total Adjudicado:,181775,Total Recepcionado:,181775
20-0906-29-1082439-2-1,Total Referencial:,191640,Total Adjudicado:,179408,Total Recepcionado:,179408
21-0423-00-1150156-1-1,Total Referencial:,49984,Total Recepcionado:,48236.36,,
20-1702-00-1052252-0-E,Total Adjudicado:,38100,Total Recepcionado:,38100,,
21-0411-00-1136647-1-1,Total Referencial:,422280,Total Recepcionado:,422280,,
20-1902-00-1102549-1-1,Total Referencial:,650000,,,,
20-1302-00-1098374-1-1,Total Referencial:,42200,Total Recepcionado:,42200,,
20-1501-00-1097707-1-1,Total Referencial:,140780,Total Recepcionado:,109180,,
20-1807-00-1044805-0-E,Total Adjudicado:,32700,Total Recepcionado:,32700,,
21-2315-00-1152870-1-1,Total Referencial:,40143.6,Total Recepcionado:,40143.6,,
20-0417-07-1100636-1-1,Total Referencial:,326167.12,Total Recepcionado:,326167.12,,
20-0418-03-1088295-1-1,Total Referencial:,42080,Total Recepcionado:,42080,,
20-1312-00-1050747-0-E,Total Adjudicado:,37000,Total Recepcionado:,37000,,
20-1803-00-1052651-0-E,Total Adjudicado:,49465,Total Recepcionado:,49465,,
20-1810-00-1040298-0-E,Total Adjudicado:,38700,Total Recepcionado:,38700,,
20-0901-02-1042749-0-E,Total Adjudicado:,45300,Total Recepcionado:,45300,,
20-1302-00-1039355-0-E,Total Adjudicado:,37200,Total Recepcionado:,37200,,
21-0906-03-1178884-1-1,Total Referencial:,270000,Total Adjudicado:,270000,Total Recepcionado:,270000
20-0903-00-1049565-0-E,Total Adjudicado:,877468,Total Recepcionado:,877468,,
20-1201-00-1040495-0-E,Total Adjudicado:,48246.5,Total Recepcionado:,48246.5,,
20-0660-13-1092758-1-1,Total Referencial:,25996,Total Recepcionado:,20796.8,,
20-1280-00-1095792-1-1,Total Referencial:,51297,Total Recepcionado:,51297,,
21-0906-03-1157784-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0147-00-1072123-1-2,Total Referencial:,661655,Total Adjudicado:,658875,Total Recepcionado:,658875
20-0015-04-1063524-1-1,Total Referencial:,180000,Total Adjudicado:,103500,Total Recepcionado:,103500
21-0417-06-1125964-1-1,Total Referencial:,86900,Total Adjudicado:,71280,Total Recepcionado:,71280
20-0513-00-1075746-1-1,Total Referencial:,324000,Total Adjudicado:,68040,Total Recepcionado:,68040
20-1408-00-1083504-1-1,Total Referencial:,370000,Total Adjudicado:,370000,Total Recepcionado:,370000
20-0417-07-1078739-1-1,Total Referencial:,41850,Total Recepcionado:,40300,,
20-1813-00-1101187-1-1,Total Referencial:,373000.37,Total Recepcionado:,372688.32,,
20-1301-00-1087426-1-1,Total Referencial:,350000,Total Recepcionado:,350000,,
21-0020-00-1140819-1-1,Total Referencial:,168480,Total Adjudicado:,158652,Total Recepcionado:,158652
20-1205-00-1099135-1-1,Total Referencial:,405000,Total Recepcionado:,335000,,
20-0411-00-1081874-1-1,Total Referencial:,118400,Total Recepcionado:,110963,,
20-0909-00-1050319-0-E,Total Adjudicado:,82400,Total Recepcionado:,82400,,
20-1334-00-1057982-1-1,Total Referencial:,124800,Total Adjudicado:,51200,Total Recepcionado:,51200
21-1257-00-1145580-1-1,Total Referencial:,49715.1,Total Recepcionado:,47930,,
20-1803-00-1052076-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-1301-00-1044804-0-E,Total Adjudicado:,100000,,,,
20-0417-09-1069337-2-1,Total Referencial:,140000,Total Adjudicado:,120000,Total Recepcionado:,120000
20-1334-00-1052923-1-2,Total Referencial:,150000,Total Adjudicado:,130200,Total Recepcionado:,130200
20-0906-00-1043874-0-E,Total Adjudicado:,944160,Total Recepcionado:,944160,,
20-0660-12-1038972-0-E,Total Adjudicado:,46300,Total Recepcionado:,46300,,
21-0423-00-1141757-1-1,Total Referencial:,49960,Total Recepcionado:,48711,,
21-4601-00-1118074-1-1,Total Referencial:,30841,Total Recepcionado:,30841,,
20-1201-00-1089687-1-1,Total Referencial:,50000,Total Recepcionado:,46875,,
20-1306-00-1043587-0-E,Total Adjudicado:,39604.77,Total Recepcionado:,39604.77,,
21-0513-00-1145781-1-1,Total Referencial:,75475,Total Adjudicado:,67085,Total Recepcionado:,67085
20-0417-03-1052263-0-E,Total Adjudicado:,4500000,Total Recepcionado:,4500000,,
20-1803-00-1052310-0-E,Total Adjudicado:,498460,Total Recepcionado:,498460,,
20-4601-03-1089160-1-1,Total Referencial:,,,,,
20-4601-03-1089160-1-1,Total Recepcionado:,,,,,
20-0417-06-1085129-1-1,Total Referencial:,43620,Total Recepcionado:,43620,,
20-1601-00-1039970-0-E,Total Adjudicado:,49700,Total Recepcionado:,49700,,
20-1401-00-1049114-0-E,Total Adjudicado:,24600,Total Recepcionado:,24600,,
20-0901-00-1065860-1-1,Total Referencial:,89150,Total Adjudicado:,79000,Total Recepcionado:,79000
20-1266-00-1098302-1-1,Total Referencial:,84000,Total Recepcionado:,83999,,
20-1805-00-1042920-0-E,Total Adjudicado:,99900,Total Recepcionado:,99900,,
21-0902-43-1125747-1-1,Total Referencial:,49969,Total Recepcionado:,43132,,
21-0906-03-1158773-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0902-43-1044746-0-E,Total Adjudicado:,40362.92,Total Recepcionado:,40362.92,,
20-1201-00-1089746-1-1,Total Referencial:,49980,Total Recepcionado:,49980,,
20-1302-00-1080005-1-1,Total Referencial:,1177270,Total Recepcionado:,1177270,,
20-1406-00-1037974-0-E,Total Adjudicado:,27750,,,,
20-0902-01-1044190-0-E,Total Adjudicado:,39245,Total Recepcionado:,39245,,
21-1312-00-1134498-1-1,Total Referencial:,49873.25,Total Recepcionado:,43063.51,,
20-1304-00-1052275-0-E,Total Adjudicado:,3600,Total Recepcionado:,3600,,
21-0417-03-1176315-1-1,Total Referencial:,307794.1,Total Adjudicado:,306586.57,Total Recepcionado:,306586.57
21-1227-00-1113524-1-1,Total Referencial:,199900,Total Recepcionado:,199900,,
20-1712-00-1049899-0-E,Total Adjudicado:,46000,Total Recepcionado:,46000,,
21-1263-00-1148844-1-1,Total Referencial:,168020,Total Adjudicado:,152002,Total Recepcionado:,152002
20-1244-00-1091692-1-1,Total Referencial:,47544.729999999996,Total Recepcionado:,47544.729999999996,,
20-0139-00-1067953-1-1,Total Referencial:,252000,Total Adjudicado:,252000,Total Recepcionado:,252000
21-1519-00-1141625-1-1,Total Referencial:,49920,Total Recepcionado:,49152,,
20-1120-00-1042334-0-E,Total Adjudicado:,300000,Total Recepcionado:,300000,,
20-0901-02-1095627-1-1,Total Referencial:,57326.08,Total Recepcionado:,54320,,
20-1301-00-1051148-0-E,Total Adjudicado:,67500,,,,
20-1703-00-1051761-0-E,Total Adjudicado:,76600,Total Recepcionado:,76600,,
21-0417-05-1141466-1-1,Total Referencial:,109500,Total Adjudicado:,102000,Total Recepcionado:,102000
20-0906-00-1041207-0-E,Total Adjudicado:,143500,Total Recepcionado:,143500,,
20-0417-06-1083866-1-1,Total Referencial:,49640,Total Recepcionado:,49640,,
20-1734-00-1049008-0-E,Total Adjudicado:,58029,Total Recepcionado:,58029,,
20-0417-06-1063117-1-1,Total Referencial:,325000,Total Adjudicado:,280000,Total Recepcionado:,280000
20-3401-00-1078428-1-1,Total Referencial:,218010,Total Adjudicado:,217976.2,,
20-3401-00-1078428-1-1,Total Referencial:,62530,Total Adjudicado:,62462.4,,
20-1423-00-1092552-1-1,Total Referencial:,43999.83,Total Recepcionado:,40000.8,,
21-0382-00-1167804-1-1,Total Referencial:,,"53.488,00",,"53.488,00",
20-1120-00-1076103-1-1,Total Referencial:,1129621,Total Adjudicado:,1128996.9,Total Recepcionado:,1128996.9
20-1315-00-1038808-0-E,Total Adjudicado:,141000,Total Recepcionado:,141000,,
21-0417-09-1141742-1-1,Total Referencial:,82000,Total Adjudicado:,82000,Total Recepcionado:,82000
20-1401-00-1035484-0-E,Total Adjudicado:,31900,Total Recepcionado:,31900,,
20-1604-00-1091210-1-2,Total Referencial:,46333,Total Recepcionado:,46333,,
20-0902-01-1045684-0-E,Total Adjudicado:,49000,Total Recepcionado:,49000,,
21-0902-43-1163069-1-1,Total Referencial:,299853.75,Total Adjudicado:,131250,Total Recepcionado:,131250
20-0903-00-1081943-1-1,Total Referencial:,42500,Total Recepcionado:,42500,,
20-0417-04-1059851-1-2,Total Referencial:,983000,Total Adjudicado:,684168,,
20-1114-00-1088702-1-1,Total Referencial:,35000,Total Recepcionado:,34500,,
20-1401-00-1053009-1-1,Total Referencial:,188000,Total Adjudicado:,179600,Total Recepcionado:,179600
20-1401-00-1047432-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-1512-00-1053975-2-2,Total Referencial:,300640,Total Adjudicado:,46950,Total Recepcionado:,46950
21-1601-00-1112062-1-1,Total Referencial:,41275.52,Total Recepcionado:,40150,,
20-1301-00-1044849-0-E,Total Adjudicado:,100000,,,,
20-1201-00-1086727-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0139-00-1122009-1-1,Total Referencial:,47000,Total Recepcionado:,47000,,
20-1605-00-1038730-0-E,Total Adjudicado:,109690,Total Recepcionado:,109690,,
20-1404-00-1101655-1-1,Total Referencial:,262175,Total Recepcionado:,262175,,
21-1101-00-1174761-1-1,Total Referencial:,50000,Total Recepcionado:,44000,,
20-1306-00-1060868-1-1,Total Referencial:,393325,Total Adjudicado:,153340,Total Recepcionado:,153340
20-0660-12-1080429-1-1,Total Referencial:,46000,Total Recepcionado:,43728,,
20-1312-00-1041305-0-E,Total Adjudicado:,48116,Total Recepcionado:,48116,,
20-1304-00-1092440-1-1,Total Referencial:,370000,Total Adjudicado:,360000,Total Recepcionado:,360000
21-0681-00-1124070-1-1,Total Referencial:,39870,Total Recepcionado:,35800,,
20-1206-00-1051959-0-E,Total Adjudicado:,96469,Total Recepcionado:,96469,,
20-1214-00-1081342-1-1,Total Referencial:,111322,Total Adjudicado:,111156,Total Recepcionado:,111156
20-1214-00-1081342-1-1,Total Referencial:,36720,Total Adjudicado:,35618.4,Total Recepcionado:,35618.4
20-1214-00-1081342-1-1,Total Referencial:,35288,Total Adjudicado:,34229.36,Total Recepcionado:,34229.36
21-0046-31-1132370-1-1,Total Referencial:,42000,Total Recepcionado:,38990,,
20-0423-00-1081017-1-1,Total Referencial:,49500,Total Recepcionado:,49500,,
20-1510-00-1049953-0-E,Total Adjudicado:,41675,Total Recepcionado:,41675,,
21-0046-21-1136528-1-1,Total Referencial:,40000,Total Recepcionado:,28000,,
20-1803-00-1049972-0-E,Total Adjudicado:,70000,Total Recepcionado:,70000,,
21-0417-06-1120421-1-1,Total Referencial:,74000,Total Adjudicado:,73000,Total Recepcionado:,73000
20-1206-00-1089664-1-1,Total Referencial:,62000,Total Recepcionado:,62000,,
20-1206-00-1089664-1-1,Total Referencial:,95550,Total Recepcionado:,95550,,
20-1206-00-1089664-1-1,Total Referencial:,1100,Total Recepcionado:,1100,,
20-1206-00-1089664-1-1,Total Referencial:,33870,Total Recepcionado:,33870,,
20-1206-00-1089664-1-1,Total Referencial:,7303,Total Recepcionado:,7303,,
20-1206-00-1089664-1-1,Total Referencial:,7180,Total Recepcionado:,7180,,
20-1206-00-1089664-1-1,Total Referencial:,4485,Total Recepcionado:,4485,,
20-1206-00-1089664-1-1,Total Referencial:,50900,Total Recepcionado:,50900,,
20-1206-00-1089664-1-1,Total Referencial:,3240,Total Recepcionado:,3240,,
20-0046-00-1040197-0-E,Total Adjudicado:,127880,Total Recepcionado:,127880,,
20-0906-03-1101338-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1606-00-1049089-0-E,Total Adjudicado:,38000,Total Recepcionado:,38000,,
20-1205-00-1093762-1-1,Total Referencial:,43900,Total Recepcionado:,43900,,
20-0901-02-1046931-0-E,Total Adjudicado:,35280,Total Recepcionado:,35280,,
21-0432-00-1141633-1-1,Total Referencial:,49954.5,Total Recepcionado:,4800,,
20-1537-00-1048974-0-E,Total Adjudicado:,47000,Total Recepcionado:,47000,,
21-0901-02-1171985-1-1,Total Referencial:,90000,Total Recepcionado:,89000,,
20-1404-00-1044309-0-E,Total Adjudicado:,22500,Total Recepcionado:,22500,,
20-1301-00-1044367-0-E,Total Adjudicado:,160000,Total Recepcionado:,160000,,
21-0417-02-1107298-1-1,Total Referencial:,68100,Total Adjudicado:,41600,Total Recepcionado:,41600
20-0902-40-1042339-0-E,Total Adjudicado:,24150,Total Recepcionado:,24150,,
20-1120-00-1053731-1-1,Total Referencial:,75000,Total Adjudicado:,70000,Total Recepcionado:,70000
20-1803-00-1042914-0-E,Total Adjudicado:,49766,Total Recepcionado:,49766,,
20-0902-01-1052690-0-E,Total Adjudicado:,29880,Total Recepcionado:,29880,,
21-1517-00-1146055-1-1,Total Referencial:,49500,Total Recepcionado:,46700,,
21-0417-01-1107714-1-1,Total Referencial:,32500,Total Recepcionado:,27500,,
20-1501-00-1098462-1-1,Total Referencial:,,,,,
20-1501-00-1098462-1-1,Total Recepcionado:,,,,,
20-1501-00-1039216-0-E,Total Adjudicado:,34450,Total Recepcionado:,34450,,
20-1607-00-1038805-0-E,Total Adjudicado:,44600,Total Recepcionado:,44600,,
20-0902-40-1043043-1-1,Total Referencial:,200000,Total Adjudicado:,145000,Total Recepcionado:,145000
20-0417-05-1049209-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-0417-04-1035224-1-1,Total Referencial:,147000,Total Adjudicado:,147000,,
21-1201-00-1144847-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0904-00-1134138-1-1,Total Referencial:,36221,Total Recepcionado:,18697.53,,
21-0417-06-1125990-1-1,Total Referencial:,24000,Total Recepcionado:,17500,,
20-1302-00-1079055-1-1,Total Referencial:,163600,Total Recepcionado:,143759,,
20-4601-00-1044728-0-E,Total Adjudicado:,49500,Total Recepcionado:,49500,,
20-1604-00-1038644-0-E,Total Adjudicado:,92320,Total Recepcionado:,92320,,
20-1302-00-1051286-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
20-1243-00-1099144-1-1,Total Referencial:,39124,Total Recepcionado:,39124,,
21-1501-00-1125048-1-1,Total Referencial:,38600,Total Recepcionado:,38600,,
20-1801-00-1082470-1-1,Total Referencial:,21004,Total Recepcionado:,19452,,
20-0417-00-1039219-0-E,Total Adjudicado:,65000,Total Recepcionado:,65000,,
20-0908-00-1047632-0-E,Total Adjudicado:,80000,Total Recepcionado:,80000,,
20-1341-00-1057541-1-1,Total Referencial:,78500,Total Adjudicado:,73370,Total Recepcionado:,73370
20-1341-00-1057541-1-1,Total Referencial:,30542,Total Adjudicado:,,,
20-1341-00-1057541-1-1,Total Referencial:,40958,Total Adjudicado:,,,
20-0906-00-1076530-1-1,Total Referencial:,923390,Total Adjudicado:,82980,Total Recepcionado:,82980
20-1734-00-1046591-0-E,Total Adjudicado:,168000,Total Recepcionado:,168000,,
21-0417-06-1123362-1-1,Total Referencial:,73500,Total Adjudicado:,62300,Total Recepcionado:,62300
21-0513-00-1157999-1-1,Total Referencial:,51666.2,Total Adjudicado:,34148.7,Total Recepcionado:,34148.7
20-1228-00-1101712-1-1,Total Referencial:,49961.759999999995,Total Recepcionado:,49961.759999999995,,
20-1301-00-1038079-0-E,Total Adjudicado:,48990,Total Recepcionado:,48990,,
21-0417-03-1138035-1-1,Total Referencial:,49810,Total Recepcionado:,49810,,
21-1325-00-1180457-1-1,Total Referencial:,146111.14,Total Adjudicado:,144710.4,Total Recepcionado:,144710.4
20-1515-00-1087308-1-1,Total Referencial:,45655,Total Recepcionado:,45655,,
20-0902-43-1038376-1-2,Total Referencial:,799992,Total Adjudicado:,577772,Total Recepcionado:,577772
20-1124-00-1050692-0-E,Total Adjudicado:,21060,Total Recepcionado:,21060,,
20-0905-00-1048245-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1734-00-1094212-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
21-0423-00-1112142-1-1,Total Referencial:,49896,Total Recepcionado:,48440.7,,
21-1201-00-1182441-1-1,Total Referencial:,43620,Total Recepcionado:,39750,,
20-1418-00-1099632-1-1,Total Referencial:,164568,Total Adjudicado:,164449.79,Total Recepcionado:,164449.79
20-1701-00-1043442-0-E,Total Adjudicado:,142230,Total Recepcionado:,142230,,
21-0046-20-1129058-1-1,Total Referencial:,572026,Total Adjudicado:,346712,Total Recepcionado:,346712
20-1605-00-1080685-1-2,Total Referencial:,85125,Total Adjudicado:,69650,Total Recepcionado:,69650
20-1301-00-1051167-0-E,Total Adjudicado:,110000,,,,
20-1312-00-1089187-1-1,Total Referencial:,125595,Total Adjudicado:,125595,Total Recepcionado:,125595
20-0417-05-1046386-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
21-1501-00-1159334-1-1,Total Referencial:,45000,Total Recepcionado:,33800,,
21-1739-00-1140949-1-1,Total Referencial:,49280,Total Recepcionado:,49280,,
20-1201-00-1040707-0-E,Total Adjudicado:,64611.3,Total Recepcionado:,64611.3,,
20-1103-00-1093139-1-1,Total Referencial:,34104,Total Recepcionado:,34104,,
20-1312-00-1040028-0-E,Total Adjudicado:,96600,Total Recepcionado:,96600,,
20-1306-00-1048567-0-E,Total Adjudicado:,38150,Total Recepcionado:,38150,,
20-1301-00-1100718-1-1,Total Referencial:,1350000,Total Recepcionado:,1350000,,
21-0046-00-1161801-1-1,Total Referencial:,29991,Total Recepcionado:,24223.5,,
22-0906-03-1191869-1-1,Total Referencial:,49980,Total Recepcionado:,49980,,
20-0512-00-1036261-0-E,Total Adjudicado:,49680,,,,
20-1605-00-1047898-0-E,Total Adjudicado:,45000,,,,
20-0147-00-1085652-1-1,Total Referencial:,3857,Total Adjudicado:,3857,Total Recepcionado:,3857
20-0147-00-1085652-1-1,Total Referencial:,37787,Total Adjudicado:,36087,Total Recepcionado:,36087
20-0147-00-1085652-1-1,Total Referencial:,301570,Total Adjudicado:,,,
20-0147-00-1085652-1-1,Total Referencial:,42715,Total Adjudicado:,42715,Total Recepcionado:,42715
20-0147-00-1085652-1-1,Total Referencial:,55310.189999999995,Total Adjudicado:,,,
20-1260-00-1084730-1-1,Total Referencial:,29760,Total Recepcionado:,29760,,
20-1604-00-1039870-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-0901-00-1156075-1-1,Total Referencial:,107055,Total Adjudicado:,79300,Total Recepcionado:,79300
